gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GeneID
MIR4252,0.06840151438028023,0.044812368692785945,1.3052919027782337,0.03433130060594536,0.9726129653007702,,100422975
TNFRSF25,477.39405083664747,-0.5388611900712104,0.12614077484667435,-4.2719032820767335,1.938116391530381e-05,0.0013881580080958753,8718
PLEKHG5,1448.1194766645492,-0.5118203038881809,0.12936211140742873,-3.956493120896828,7.605807747264701e-05,0.003000228709614524,57449
NOL9,749.646705597688,0.018612363894734276,0.059213894288077364,0.3143242666017636,0.7532747694431245,0.8568585009574482,79707
TAS1R1,9.183805905767038,0.2722706025059962,0.1355765896191309,2.008242007494609,0.044617581094974657,0.1453159949665634,80835
LOC107984912,0.9763412164752086,0.10002551652045498,0.23887722249093257,0.4187319137313387,0.6754120693415032,0.8068575212431014,107984912
ZBTB48,445.85280854592276,0.0576287051171224,0.08611568158820529,0.6692010566983125,0.5033672322779739,0.681291586411701,3104
KLHL21,1928.227907238393,-0.14947939493501106,0.06900962607156569,-2.166065858406406,0.03030615469264654,0.11320537102067392,9903
LOC107984913,36.864521309295256,-0.10556924811844168,0.09055817828978331,-1.1657616143803535,0.24371084094909168,0.432457677410943,107984913
PHF13,748.1140273745729,0.017615027433718747,0.05045692015260177,0.34911023860441553,0.7270065502949187,0.8411247623844004,148479
THAP3,485.289156253214,-0.07126186542377433,0.07293059606560413,-0.9771189222102517,0.32851028095353574,0.5221024533898441,90326
DNAJC11,858.8498102251912,-0.027965883230182544,0.05108882522926046,-0.5473972655406734,0.5841058334957296,0.7425113008997913,55735
LINC01672,0.004427046955516144,-0.005685324608299666,2.986722062784518,-0.001903533200876162,0.9984812011652577,,100505887
CAMTA1-DT,15.794823899545806,0.22797040688461526,0.13812727686555434,1.6504372782684291,0.09885353186872892,0.24223513780903944,110841581
CAMTA1,723.3644326336524,0.13340537558318008,0.05521815537918033,2.4159694337322932,0.015693378686978086,0.07387012467367968,23261
LOC105376692,0.028061266311314753,-0.04449949006777892,2.6106846924502425,-0.017045141527992868,0.9864006032622843,,105376692
CAMTA1-AS2,0.0993370664249649,0.08294104007439249,1.0090585252501758,0.08219646135374448,0.9344904873559258,,102725193
CAMTA1-AS1,2.811187808736564,-0.20453884400712102,0.20266229739149222,-1.0092594756882864,0.31285020954445497,0.506550860834746,101928836
LOC105376691,0.03996898715913683,0.04515521870650785,1.744542133295793,0.025883707733215074,0.979350095039236,,105376691
LOC105376689,214.80438111542415,0.2699317255388683,0.18155808316543506,1.4867513515931288,0.13708049452171503,0.29790021587911997,105376689
VAMP3,3512.5443872572096,-0.16411789899583068,0.09119682455710942,-1.799601025505625,0.07192365904978049,0.19799441238262497,9341
PER3,1922.57040320336,-0.27322664770368804,0.11583995399921765,-2.358656389880242,0.01834122973862693,0.08194102499781052,8863
UTS2,3.5295982451200416,-0.06405112632126637,0.26189165003643466,-0.24457109003801958,0.8067885511355333,0.8901852026552585,10911
TNFRSF9,7.255459491019763,0.056445559164224425,0.18737681063402,0.30124090047872876,0.7632308033796875,0.8626629890008635,3604
PARK7,3276.202879084156,0.06111450965978175,0.08989368286561716,0.679853218953576,0.49659740522173634,0.6759231896901904,11315
ERRFI1,1920.4290495505406,0.2321222683050717,0.0918775326503479,2.526431235244896,0.0115227943732568,0.06100635284685961,54206
LOC107984915,42.47652030309573,0.5192035016856018,0.30753022197813823,1.6883007411301223,0.09135351304224767,0.23015524811274607,107984915
LINC01714,0.464764514210497,-0.20901535734702767,0.38541815520834605,-0.5423080218783153,0.5876063303386088,,102724539
